nop;masukkan_nomor_npwp_badan_usaha;masukkan_alamat_npwp_anda;x;y
;02.672.927.7-451.001;KP KADU 003/001, BUNDER/CIKUPA ,TANGERANG;106,7304457;-6,2018324
317106000300600930;13362389054000;GEDUNG ALFA TOWER Lantai 12 Jalan Jalur Sutera Barat Kav. 9 Alam Sutera, Panunggangan Timur Pinang, Kota Tangerang, Banten;106,8280914;-6,215423176
;84.503.770.4-416.000;GEDUNG ALFA TOWER LT. 28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,7848778;-6,2005931
;01.337.994.6-092.000;JL .ANCOL BARAT 1 NO. 09-10;106,8163371;-6,218521337
;02.672.972.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,7920465;-6,1641432
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO. 09-10;106,8321073;-6,219658845
;02.672.972.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,7307743;-6,1326871
;84.503.770.4-416.000;GEDUNG ALFA TOWER LT.28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8414141;-6,2516352
;02.672.972.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,7244188;-6,1955086
;02.672.972.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,7251851;-6,1650148
